"state","cd","R","D","total_votes","d_win","d_wasted_votes","r_wasted_votes","net_wasted_votes"
"AK",1,164676,122640,300495,FALSE,122640,14428,-108212
"AL",1,184280,111477,298061,FALSE,111477,35249,-76228
"AL",2,184007,105267,291292,FALSE,105267,38360,-66907
"AL",3,172463,101623,276632,FALSE,101623,34146,-67477
"AL",4,180532,59671,243052,FALSE,59671,59005,-666
"AL",5,189657,103371,296824,FALSE,103371,41244,-62127
"AL",6,233725,79388,316388,FALSE,79388,75530,-3858
"AL",7,86614,228261,316354,TRUE,70083,86614,16531
"AR",1,42784,33047,114046,FALSE,33047,-14240,-47287
"AR",2,179,78452,51839,TRUE,52532,179,-52353
"AR",3,40503,18960,72217,FALSE,18960,4394,-14566
"AR",4,34088,20094,121206,FALSE,20094,-26516,-46610
"AZ",1,140957,143007,288919,TRUE,-1453,140957,142410
"AZ",2,149651,144966,299691,FALSE,144966,-195,-145161
"AZ",3,65482,108902,177447,TRUE,20178,65482,45304
"AZ",4,177108,81915,263812,FALSE,81915,45201,-36714
"AZ",5,187304,101511,294737,FALSE,101511,39935,-61576
"AZ",6,186537,121661,314341,FALSE,121661,29366,-92295
"AZ",7,37353,101028,141357,TRUE,30349,37353,7004
"AZ",8,179555,107335,292021,FALSE,107335,33544,-73791
"AZ",9,123263,135244,265679,TRUE,2404,123263,120859
"CT",1,108883,196852,309167,TRUE,42268,108883,66615
"CT",2,134711,176982,316590,TRUE,18686,134711,116025
"CT",3,108787,188869,300884,TRUE,38426,108787,70361
"CT",4,136986,171300,311043,TRUE,15778,136986,121208
"CT",5,145525,171080,320358,TRUE,10900,145525,134625
"GA",1,144967,111418,259120,FALSE,111418,15406,-96012
"GA",2,107287,154069,262956,TRUE,22590,107287,84697
"GA",3,194785,98041,296228,FALSE,98041,46670,-51371
"GA",4,76165,219438,298109,TRUE,70383,76165,5782
"GA",5,45842,240347,289427,TRUE,95633,45842,-49791
"GA",6,187269,115019,307584,FALSE,115019,33476,-81543
"GA",7,161206,101431,266510,FALSE,101431,27950,-73481
"GA",8,164993,100293,267678,FALSE,100293,31153,-69140
"GA",9,204579,53839,262023,FALSE,53839,73567,19728
"GA",10,184304,107033,294988,FALSE,107033,36809,-70224
"GA",11,200702,94730,300232,FALSE,94730,50585,-44145
"GA",12,149304,117437,269256,FALSE,117437,14675,-102762
"GA",13,86567,201760,290601,TRUE,56459,86567,30108
"GA",14,170718,58972,233127,FALSE,58972,54154,-4818
"HI",1,62875,151023,216671,TRUE,42687,62875,20188
"HI",2,58140,155635,218026,TRUE,46621,58140,11519
"HI",NA,0,0,0,FALSE,0,-1,-1
"IA",1,170753,225585,403308,TRUE,23930,170753,146823
"IA",2,168314,219658,395758,TRUE,21778,168314,146536
"IA",3,186645,203622,397638,TRUE,4802,186645,181843
"IA",4,204685,173391,384961,FALSE,173391,12204,-161187
"ID",1,213080,105645,328262,FALSE,105645,48948,-56697
"ID",2,207831,107142,324021,FALSE,107142,45820,-61322
"IL",1,67594,262565,333006,TRUE,96061,67594,-28467
"IL",2,63721,249401,315847,TRUE,91477,63721,-27756
"IL",3,101926,138081,243748,TRUE,16206,101926,85720
"IL",4,28227,134218,165879,TRUE,51278,28227,-23051
"IL",5,89659,183906,280126,TRUE,43842,89659,45817
"IL",6,186351,155407,347548,FALSE,155407,12576,-142831
"IL",7,32541,236687,271847,TRUE,100763,32541,-68222
"IL",8,96627,132879,233428,TRUE,16164,96627,80463
"IL",9,101063,197239,303347,TRUE,45565,101063,55498
"IL",10,110858,155601,270585,TRUE,20308,110858,90550
"IL",11,105707,150983,261156,TRUE,20404,105707,85303
"IL",12,145889,167303,320358,TRUE,7123,145889,138766
"IL",13,146936,149136,304155,TRUE,-2942,146936,149878
"IL",14,168112,138266,312099,FALSE,138266,12062,-126204
"IL",15,189123,100498,296286,FALSE,100498,40979,-59519
"IL",16,164090,138978,309814,FALSE,138978,9182,-129796
"IL",17,117405,166598,289704,TRUE,21745,117405,95660
"IL",18,197670,123914,328507,FALSE,123914,33416,-90498
"IL",NA,0,0,0,FALSE,0,-1,-1
"KS",1,183279,72284,261556,FALSE,72284,52500,-19784
"KS",2,165963,125219,298295,FALSE,125219,16815,-108404
"KS",3,336287,256932,604614,FALSE,256932,33979,-222953
"KS",4,164553,96433,268192,FALSE,96433,30456,-65977
"KS",NA,953,384,1380,FALSE,384,262,-122
"KY",1,192157,94179,290678,FALSE,94179,46817,-47362
"KY",2,185828,103321,293780,FALSE,103321,38937,-64384
"KY",3,132879,174677,312197,TRUE,18578,132879,114301
"KY",4,193614,106951,306044,FALSE,106951,40591,-66360
"KY",5,174107,53737,231939,FALSE,53737,58137,4400
"KY",6,166534,126290,298972,FALSE,126290,17047,-109243
"LA",1,192836,71265,270653,FALSE,71265,57509,-13756
"LA",2,63888,199149,266830,TRUE,65733,63888,-1845
"LA",3,183710,90515,279010,FALSE,90515,44204,-46311
"LA",4,157629,108372,269565,FALSE,108372,22846,-85526
"LA",5,159832,98632,261995,FALSE,98632,28834,-69798
"LA",6,189810,90899,286233,FALSE,90899,46693,-44206
"LA",NA,204557,150309,359779,FALSE,150309,24667,-125642
"MA",1,114339,213423,334419,TRUE,46213,114339,68126
"MA",2,133195,199549,340796,TRUE,29150,133195,104045
"MA",3,137869,189461,333483,TRUE,22719,137869,115150
"MA",4,152699,211423,370804,TRUE,26020,152699,126679
"MA",5,119934,235984,362736,TRUE,54615,119934,65319
"MA",6,169966,212003,388095,TRUE,17955,169966,152011
"MA",7,44275,233382,283608,TRUE,91577,44275,-47302
"MA",8,150825,213364,370075,TRUE,28326,150825,122499
"MA",9,165212,212701,383751,TRUE,20825,165212,144387
"MD",1,172036,98876,277821,FALSE,98876,33125,-65751
"MD",2,91116,144828,242305,TRUE,23675,91116,67441
"MD",3,101751,147379,256389,TRUE,19184,101751,82567
"MD",4,55123,185291,243956,TRUE,63312,55123,-8189
"MD",5,93151,171998,270641,TRUE,36677,93151,56474
"MD",6,113325,130781,250381,TRUE,5590,113325,107735
"MD",7,60457,181520,247031,TRUE,58004,60457,2453
"MD",8,105605,158036,270404,TRUE,22833,105605,82772
"ME",1,142573,221952,373949,TRUE,34977,142573,107596
"ME",2,148845,177283,336177,TRUE,9194,148845,139651
"ME",NA,858,2071,3054,TRUE,543,858,315
"MN",1,165719,170377,345267,TRUE,-2257,165719,167976
"MN",2,184575,184804,377875,TRUE,-4134,184575,188709
"MN",3,195802,199091,402431,TRUE,-2125,195802,197927
"MN",4,131521,231503,371813,TRUE,45596,131521,85925
"MN",5,89643,274632,375005,TRUE,87129,89643,2514
"MN",6,205653,151235,365485,FALSE,151235,22910,-128325
"MN",7,180330,147747,336009,FALSE,147747,12325,-135422
"MN",8,166976,186760,362640,TRUE,5439,166976,161537
"MS",1,197992,118388,319945,FALSE,118388,38019,-80369
"MS",2,109329,219744,330849,TRUE,54319,109329,55010
"MS",3,203507,132795,339292,FALSE,132795,33860,-98935
"MS",4,198824,92226,294478,FALSE,92226,51584,-40642
"NC",1,93991,245980,342189,TRUE,74885,93991,19106
"NC",2,183952,134004,322411,FALSE,134004,22746,-111258
"NC",3,185415,130981,320409,FALSE,130981,25210,-105771
"NC",4,99223,258588,362792,TRUE,77191,99223,22032
"NC",5,208673,140538,354531,FALSE,140538,31407,-109131
"NC",6,214829,154420,374128,FALSE,154420,27764,-126656
"NC",7,202251,136077,342199,FALSE,136077,31151,-104926
"NC",8,178142,125779,307725,FALSE,125779,24279,-101500
"NC",9,216499,163743,385073,FALSE,163743,23962,-139781
"NC",10,197886,139855,342698,FALSE,139855,26536,-113319
"NC",11,205428,127136,338373,FALSE,127136,36241,-90895
"NC",12,66609,250794,320122,TRUE,90732,66609,-24123
"NC",13,217497,170496,392722,FALSE,170496,21135,-149361
"NE",1,181468,124340,311174,FALSE,124340,25880,-98460
"NE",2,113220,106456,222828,FALSE,106456,1805,-104651
"NE",3,180376,71285,256660,FALSE,71285,52045,-19240
"NH",1,173419,179148,357928,TRUE,183,173419,173236
"NH",2,156499,190413,352902,TRUE,13961,156499,142538
"NM",1,110028,154992,279377,TRUE,15303,110028,94725
"NM",2,116139,100360,224071,FALSE,100360,4103,-96257
"NM",3,107467,157573,275563,TRUE,19791,107467,87676
"NM",NA,0,0,0,FALSE,0,-1,-1
"OK",1,188961,98321,287282,FALSE,98321,45319,-53002
"OK",2,170983,81179,252162,FALSE,81179,44901,-36278
"OK",3,199390,70346,269736,FALSE,70346,64521,-5825
"OK",4,174565,84973,259538,FALSE,84973,44795,-40178
"OK",5,157426,108728,266154,FALSE,108728,24348,-84380
"RI",1,67548,136245,207721,TRUE,32384,67548,35164
"RI",2,87292,134558,226877,TRUE,21119,87292,66173
"RI",NA,2364,8874,11451,TRUE,3148,2364,-784
"SC",1,177149,131016,312884,FALSE,131016,20706,-110310
"SC",2,165191,109010,278199,FALSE,109010,26091,-82919
"SC",3,168516,87945,260401,FALSE,87945,38315,-49630
"SC",4,173017,101077,278622,FALSE,101077,33705,-67372
"SC",5,157391,128124,289175,FALSE,128124,12803,-115321
"SC",6,77817,184245,264894,TRUE,51797,77817,26020
"SC",7,152511,124483,279849,FALSE,124483,12586,-111897
"SC",NA,53,41,94,FALSE,41,5,-36
"TN",1,186726,65869,256850,FALSE,65869,58300,-7569
"TN",2,185952,85423,276426,FALSE,85423,47738,-37685
"TN",3,171408,95067,270965,FALSE,95067,35925,-59142
"TN",4,170579,86846,261513,FALSE,86846,39822,-47024
"TN",5,115518,152683,272811,TRUE,16277,115518,99241
"TN",6,193382,82558,279925,FALSE,82558,53419,-29139
"TN",7,183599,91495,279087,FALSE,91495,44055,-47440
"TN",8,200492,98640,302313,FALSE,98640,49335,-49305
"TN",9,54674,202128,258687,TRUE,72784,54674,-18110
"TN",NA,0,0,0,FALSE,0,-1,-1
"TX",1,181833,69857,254345,FALSE,69857,54660,-15197
"TX",2,157094,88751,249637,FALSE,88751,32275,-56476
"TX",4,189455,63521,256189,FALSE,63521,61360,-2161
"TX",5,137239,73085,212796,FALSE,73085,30840,-42245
"TX",6,146985,103444,254013,FALSE,103444,19978,-83466
"TX",7,143631,92499,239820,FALSE,92499,23720,-68779
"TX",8,195735,55271,254292,FALSE,55271,68588,13317
"TX",9,39392,145332,186291,TRUE,52186,39392,-12794
"TX",10,159714,104839,270443,FALSE,104839,24492,-80347
"TX",11,182403,45081,230612,FALSE,45081,67096,22015
"TX",12,166992,79147,250089,FALSE,79147,41947,-37200
"TX",13,184090,42518,229663,FALSE,42518,69258,26740
"TX",14,147151,97824,248046,FALSE,97824,23127,-74697
"TX",15,62883,86940,151596,TRUE,11141,62883,51742
"TX",16,54315,100993,157717,TRUE,22134,54315,32181
"TX",17,134521,84243,223108,FALSE,84243,22966,-61277
"TX",18,44991,150129,197241,TRUE,51508,44991,-6517
"TX",19,160060,54451,217626,FALSE,54451,51246,-3205
"TX",20,74540,110663,188284,TRUE,16520,74540,58020
"TX",21,188240,119220,314974,FALSE,119220,30752,-88468
"TX",22,158452,93582,255105,FALSE,93582,30899,-62683
"TX",23,99654,94386,196661,FALSE,94386,1323,-93063
"TX",24,150547,94634,249167,FALSE,94634,25963,-68671
"TX",25,162278,102433,270976,FALSE,102433,26789,-75644
"TX",26,177941,80828,263258,FALSE,80828,46311,-34517
"TX",27,131818,83161,218002,FALSE,83161,22816,-60345
"TX",28,65372,101843,169153,TRUE,17266,65372,48106
"TX",29,37909,75720,114915,TRUE,18262,37909,19647
"TX",30,43333,175637,220635,TRUE,65319,43333,-21986
"TX",31,144634,92842,243645,FALSE,92842,22811,-70031
"TX",32,146420,106563,257007,FALSE,106563,17916,-88647
"TX",33,32641,86686,120509,TRUE,26431,32641,6210
"TX",34,57303,90885,149698,TRUE,16035,57303,41268
"TX",35,57989,105545,167688,TRUE,21700,57989,36289
"TX",36,175850,61766,240734,FALSE,61766,55482,-6284
"TX",NA,175383,93290,273368,FALSE,93290,38698,-54592
"VA",1,193647,166510,365040,FALSE,166510,11126,-155384
"VA",2,154935,159695,318849,TRUE,270,154935,154665
"VA",3,66391,262265,332166,TRUE,96181,66391,-29790
"VA",4,181265,176311,361496,FALSE,176311,516,-175795
"VA",5,188485,164555,358689,FALSE,164555,9140,-155415
"VA",6,197045,132153,334864,FALSE,132153,29612,-102541
"VA",7,222915,163331,391482,FALSE,163331,27173,-136158
"VA",8,111518,243746,359743,TRUE,63874,111518,47644
"VA",9,196354,108641,311291,FALSE,108641,40708,-67933
"VA",10,186650,182432,373913,FALSE,182432,-307,-182739
"VA",11,123317,212181,339710,TRUE,42325,123317,80992
"WA",1,94707,99617,199561,TRUE,-164,94707,94871
"WA",2,118985,185392,312986,TRUE,28898,118985,90087
"WA",3,150060,145257,302927,FALSE,145257,-1404,-146661
"WA",4,142386,90506,238472,FALSE,90506,23149,-67357
"WA",5,168515,137732,315229,FALSE,137732,10900,-126832
"WA",6,135434,184682,328910,TRUE,20226,135434,115208
"WA",7,9533,17503,27574,TRUE,3715,9533,5818
"WA",8,68913,55223,127029,FALSE,55223,5398,-49825
"WA",9,4555,5913,10661,TRUE,582,4555,3973
"WA",10,120046,164472,292006,TRUE,18468,120046,101578
"WV",1,141736,81017,227948,FALSE,81017,27761,-53256
"WV",2,140783,89079,234596,FALSE,89079,23484,-65595
"WV",3,135136,68173,207894,FALSE,68173,31188,-36985
