"state","efficiency","name"
"AK",0.360112481072896,"Alaska"
"AL",0.127897388554809,"Alabama"
"AR",0.447571442884656,"Arkansas"
"AZ",0.0401881262820765,"Arizona"
"CT",0.326585547758019,"Connecticut"
"GA",0.129038680150719,"Georgia"
"HI",0.0729381615240041,"Hawaii"
"IA",0.198534455779195,"Iowa"
"ID",0.180932202740222,"Idaho"
"IL",0.0253130638619435,"Illinois"
"KS",0.290954835893356,"Kansas"
"KY",0.0972813954695693,"Kentucky"
"LA",0.194118045299426,"Louisiana"
"MA",0.268616347098761,"Massachusetts"
"MD",0.158092949340628,"Maryland"
"ME",0.347124148181385,"Maine"
"MN",0.184177216267527,"Minnesota"
"MS",0.128398429350348,"Mississippi"
"NC",0.252050885032357,"North Carolina"
"NE",0.281221305690674,"Nebraska"
"NH",0.444232798278069,"New Hampshire"
"NM",0.110579953299761,"New Mexico"
"OK",0.164557350817157,"Oklahoma"
"RI",0.225430389934738,"Rhode Island"
"SC",0.26040441562065,"South Carolina"
"TN",0.0797916843767757,"Tennessee"
"TX",0.114258144276889,"Texas"
"VA",0.187784863082472,"Virginia"
"WA",0.00967822006119642,"Washington"
"WV",0.232439092056238,"West Virginia"
